design,sheet_id,sheet_number,panel_id,quantity,thickness_mm,rotation_deg,x_mm,y_mm,bbox_width_mm,bbox_height_mm,area_mm2,hole_count,bevel_notes,notes,cut_note
Catamaran,Catamaran_sheet1,1,CAT-PORT-DECK-05,1,20,0,20,45,206.950016,256.160082,39177.2727,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CAT-STARBOARD-DECK-05,1,20,0,230.950016,45,206.950016,256.160082,39177.2727,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CAT-PORT-DECK-02,1,20,0,441.900032,45,170,260,44200,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CAT-PORT-DECK-03,1,20,0,615.900032,45,170,260,44200,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CAT-PORT-DECK-04,1,20,0,789.900032,45,170,260,44200,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CAT-STARBOARD-DECK-02,1,20,90,20,305.160082,260,170,44200,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CAT-STARBOARD-DECK-03,1,20,90,284,309,260,170,44200,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CAT-STARBOARD-DECK-04,1,20,90,548,309,260,170,44200,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CAT-PORT-SIDE-PORT-06,1,20,90,812,309,139.611713,207.333701,26189.6188,0,edge 0: Bottom chine mating edge; bevel-machine after nominal cut,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
Catamaran,Catamaran_sheet1,1,CAT-PORT-DECK-01,1,20,90,20,479.160082,260,50,13000,0,edge 0: Removable deck support edge; keep CUT outline nominal,,CUT nominal; CAM outside offset +0.10 mm; do not cut both; holes require inner CAM compensation if needed
